"message_id","name","email","phone","subject","message","date_submitted"
"customer_id","customer_name","contact_number","email","created_at"
"1","dsdsds","21323","sdsd@dsds","2025-05-08 22:55:57"
"2","dsdsds","dsdsd","dsds@dds","2025-05-09 10:14:07"
"3","dsdsd","asasa","dsds@dsds","2025-05-10 03:48:33"
"4","sasas","2323232","sddsd@dsdsds","2025-05-10 10:24:51"
"5","sasds","dsds","sdsds@sds","2025-05-10 10:35:41"
"6","Penisman","123","Penis@man","2025-05-13 15:16:34"
"7","wolf","09234233502","mamamo@gmail.com","2025-05-14 14:24:45"
"8","The Jonkler","122121","Jonkening@jonk","2025-05-21 22:11:55"
"9","Jinkies","123123123","Womp@womp","2025-05-22 15:19:49"
"payment_type_id","payment_name","additional_charge_percentage","created_at"
"1","Cash","0.00","2025-05-08 22:54:11"
"2","Check","5.00","2025-05-08 22:54:11"
"3","Credit Card","10.00","2025-05-08 22:54:11"
"reservation_id","customer_id","room_id","date_reserved","date_from","date_to","payment_type_id","special_requests","num_days","subtotal","discount","additional_charge","total_bill","created_at"
"1","1","7","2025-05-08","2025-05-27","2025-05-31","1","sdsdsds","4","800.00","80.00","0.00","720.00","2025-05-08 22:56:51"
"2","1","1","2025-05-08","2025-05-10","2025-05-16","1",,"6","600.00","90.00","0.00","510.00","2025-05-08 23:14:30"
"3","2","8","2025-05-09","2025-05-23","2025-05-31","1",,"8","1600.00","240.00","0.00","1360.00","2025-05-09 10:21:47"
"4","3","1","2025-05-09","2025-05-23","2025-05-27","1",,"4","400.00","40.00","0.00","360.00","2025-05-10 03:48:33"
"5","4","3","2025-05-10","2025-05-21","2025-05-25","1","dsdsds","4","1200.00","120.00","0.00","1080.00","2025-05-10 10:24:51"
"6","5","13","2025-05-10","2025-05-24","2025-05-30","1","dsdsds","6","1200.00","180.00","0.00","1020.00","2025-05-10 10:35:41"
"7","6","19","2025-05-13","2025-05-13","2025-05-17","1","Give me head","4","2000.00","200.00","0.00","1800.00","2025-05-13 15:16:34"
"8","7","9","2025-05-14","2025-05-14","2025-05-22","1","free food
","8","4000.00","600.00","0.00","3400.00","2025-05-14 14:24:45"
"9","8","1","2025-05-21","2025-05-21","2025-05-22","2","dddsds","1","100.00","0.00","5.00","105.00","2025-05-21 22:11:55"
"10","9","23","2025-05-22","2025-05-22","2025-05-30","1","fdfdfdfdfd","8","8000.00","1200.00","0.00","6800.00","2025-05-22 15:19:49"
"room_id","room_number","room_type_id","room_capacity_id","rate_per_day","is_available","created_at"
"1","101","1","1","100.00","1","2025-05-08 22:54:20"
"2","102","1","1","100.00","1","2025-05-08 22:54:20"
"3","103","2","1","300.00","1","2025-05-08 22:54:20"
"4","104","2","1","300.00","1","2025-05-08 22:54:20"
"5","105","3","1","500.00","1","2025-05-08 22:54:20"
"6","106","3","1","500.00","1","2025-05-08 22:54:20"
"7","201","1","2","200.00","1","2025-05-08 22:54:28"
"8","202","1","2","200.00","1","2025-05-08 22:54:28"
"9","203","2","2","500.00","1","2025-05-08 22:54:28"
"10","204","2","2","500.00","1","2025-05-08 22:54:28"
"11","205","3","2","800.00","1","2025-05-08 22:54:28"
"12","206","3","2","800.00","1","2025-05-08 22:54:28"
"13","201","1","2","200.00","1","2025-05-08 22:54:28"
"14","202","1","2","200.00","1","2025-05-08 22:54:28"
"15","203","2","2","500.00","1","2025-05-08 22:54:28"
"16","204","2","2","500.00","1","2025-05-08 22:54:28"
"17","205","3","2","800.00","1","2025-05-08 22:54:28"
"18","206","3","2","800.00","1","2025-05-08 22:54:28"
"19","301","1","3","500.00","1","2025-05-08 22:54:33"
"20","302","1","3","500.00","1","2025-05-08 22:54:33"
"21","303","2","3","750.00","1","2025-05-08 22:54:33"
"22","304","2","3","750.00","1","2025-05-08 22:54:33"
"23","305","3","3","1000.00","1","2025-05-08 22:54:33"
"24","306","3","3","1000.00","1","2025-05-08 22:54:33"
"25","301","1","3","500.00","1","2025-05-08 22:54:33"
"26","302","1","3","500.00","1","2025-05-08 22:54:33"
"27","303","2","3","750.00","1","2025-05-08 22:54:33"
"28","304","2","3","750.00","1","2025-05-08 22:54:33"
"29","305","3","3","1000.00","1","2025-05-08 22:54:33"
"30","306","3","3","1000.00","1","2025-05-08 22:54:33"
"31","301","1","3","500.00","1","2025-05-08 22:54:33"
"32","302","1","3","500.00","1","2025-05-08 22:54:33"
"33","303","2","3","750.00","1","2025-05-08 22:54:33"
"34","304","2","3","750.00","1","2025-05-08 22:54:33"
"35","305","3","3","1000.00","1","2025-05-08 22:54:33"
"36","306","3","3","1000.00","1","2025-05-08 22:54:33"
"room_capacity_id","capacity_name","max_guests","created_at"
"1","Single","1","2025-05-08 22:54:07"
"2","Double","2","2025-05-08 22:54:07"
"3","Family","4","2025-05-08 22:54:07"
"room_type_id","room_type","description","created_at"
"1","Regular","Standard room with essential amenities for a comfortable stay","2025-05-08 22:54:01"
"2","De Luxe","Spacious room with premium amenities and elegant furnishings","2025-05-08 22:54:01"
"3","Suite","Luxurious suite with separate living area and exclusive amenities","2025-05-08 22:54:01"
